Task ID,Task Description,Skill Requirement,Task Deadline,Task Priority,Task Dependencies,Estimated Completion Time,Team Member ID,Team Member Skills,Team Member Workload
TASK-00001,Need think agency treatment main political American.,CSS,2025-01-22,High,[],4,TM-088,"['Event Planning', 'Customer Support', 'CSS']",9
TASK-00002,Book building green free.,HTML,2024-12-30,High,[],8,TM-189,"['Teaching', 'Customer Support', 'DevOps', 'Event Planning']",3
TASK-00003,Personal father human form international thought.,Finance,2025-01-17,Medium,[],7,TM-076,"['Data Analysis', 'Finance']",3
TASK-00004,Really both become weight agent.,Teaching,2025-01-10,Low,"['TASK-00001', 'TASK-00002']",1,TM-465,"['CSS', 'Finance', 'Event Planning', 'DevOps']",14
TASK-00005,Voice gun check lose.,Editing,2025-01-08,Low,['TASK-00003'],4,TM-179,"['Customer Support', 'C++', 'Event Planning', 'SEO', 'Finance']",11
TASK-00006,Maintain thank break section.,SEO,2025-01-13,Medium,['TASK-00003'],5,TM-473,"['C++', 'Event Planning', 'Marketing', 'Design', 'Data Analysis']",5
TASK-00007,Decade food rate hot song.,Customer Support,2025-01-22,High,"['TASK-00002', 'TASK-00003']",6,TM-300,"['C++', 'Java', 'Python', 'Graphic Design', 'DevOps']",5
TASK-00008,Work billion during operation option offer.,Design,2024-12-27,Low,[],8,TM-479,"['SEO', 'Design', 'Teaching', 'Finance', 'DevOps']",7
TASK-00009,Visit place rather north day.,HTML,2024-12-29,Low,"['TASK-00007', 'TASK-00001', 'TASK-00008']",5,TM-059,"['C++', 'Finance']",11
TASK-00010,Fine really quickly themselves.,Python,2025-01-04,Low,"['TASK-00002', 'TASK-00008']",7,TM-069,"['Marketing', 'Editing', 'Design']",14
TASK-00011,Rest break pull particularly pretty.,Data Analysis,2025-01-03,Low,['TASK-00003'],7,TM-417,"['C++', 'Python', 'SEO']",3
TASK-00012,Produce century word husband not level.,Marketing,2025-01-08,Low,['TASK-00001'],6,TM-397,"['C++', 'SEO', 'Customer Support', 'Event Planning', 'DevOps']",20
TASK-00013,Family nearly change opportunity future three produce.,Customer Support,2025-01-01,Medium,['TASK-00004'],8,TM-257,"['DevOps', 'CSS', 'Teaching', 'Java']",14
TASK-00014,Measure public drop skill organization individual.,Graphic Design,2025-01-22,High,"['TASK-00002', 'TASK-00010', 'TASK-00013']",3,TM-401,"['HTML', 'Customer Support', 'Design', 'Event Planning']",1
TASK-00015,Identify include eat little.,SEO,2024-12-31,Low,['TASK-00014'],5,TM-473,"['Teaching', 'DevOps', 'Java', 'Graphic Design']",5
TASK-00016,Strong simple him true.,Data Analysis,2024-12-31,Low,['TASK-00014'],5,TM-205,"['HTML', 'Event Planning']",8
TASK-00017,Spring party town character series seven.,Python,2024-12-24,Low,"['TASK-00014', 'TASK-00005']",4,TM-172,"['CSS', 'Marketing']",17
